DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'111903,21,7,71,55,30,75,57,43,100,.,.,.,58,26,86,30,20,80,49,19,81,61,28,89,56,21,86,-1,-1,-1,33,11,89,54,25,83,28,6,67,34,12,58,58,26,86,59,27,88,54,24,83,59,25,91
'112901,38,14,68,44,11,75,75,57,87,-1,-1,-1,49,23,75,26,8,58,38,15,67,52,25,80,43,17,72,63,38,88,29,9,63,46,22,71,33,12,65,15,5,35,56,30,80,50,24,76,46,23,73,44,25,72
'112905,43,20,63,25,8,54,.,.,.,86,43,100,45,16,74,15,15,46,38,11,67,49,18,80,51,18,77,20,10,60,26,9,52,41,14,69,21,5,58,12,7,41,45,16,76,41,16,74,52,16,74,45,18,91
'112906,36,16,65,31,9,71,.,.,.,.,.,.,46,20,74,-1,-1,-1,43,19,72,51,22,78,42,18,69,.,.,.,25,11,57,40,18,70,27,8,60,25,9,46,48,22,76,48,21,74,40,17,75,14,14,57
'112907,32,11,76,56,22,100,.,.,.,.,.,.,48,18,84,.,.,.,44,21,81,46,18,85,38,9,79,.,.,.,23,10,73,50,19,83,24,3,73,33,14,67,51,20,85,51,21,85,42,12,81,60,50,100
'112908,33,11,66,54,23,81,57,57,100,.,.,.,44,19,76,47,6,71,39,15,71,50,20,80,35,13,68,35,6,100,25,8,60,39,18,73,28,8,65,24,8,49,51,23,82,45,19,77,44,18,74,31,23,62
'112909,42,21,79,33,8,67,.,.,.,.,.,.,53,24,81,44,25,69,47,20,77,53,19,82,33,13,78,.,.,.,38,19,81,54,28,80,22,8,59,12,0,41,61,28,83,55,23,82,48,26,78,36,9,73
'112910,38,6,88,56,33,78,.,.,.,.,.,.,49,19,84,73,18,82,51,18,83,56,19,90,48,9,89,-1,-1,-1,31,8,85,43,19,79,30,7,72,11,2,36,48,20,84,55,23,84,38,12,84,68,27,95
'113901,28,10,65,31,9,63,70,50,100,.,.,.,28,10,62,19,6,53,26,9,61,31,11,66,32,12,68,-1,-1,-1,16,5,55,26,10,57,14,4,48,12,5,30,53,21,77,26,9,61,37,13,65,0,0,43
'113902,6,0,47,41,5,68,-1,-1,-1,-1,-1,-1,37,12,69,24,8,53,33,10,63,44,15,78,29,11,65,.,.,.,7,0,36,31,10,63,19,4,56,11,3,38,41,14,75,35,11,69,39,14,69,23,12,58
'113903,40,10,50,51,11,91,100,20,100,.,.,.,56,22,90,42,12,86,46,18,88,56,23,91,63,22,91,.,.,.,40,10,50,56,21,90,26,4,74,25,10,66,57,24,91,56,23,92,56,20,87,43,25,96
'113905,29,14,67,.,.,.,100,67,100,.,.,.,48,21,83,22,0,78,39,15,78,55,26,88,47,17,82,.,.,.,21,0,64,42,16,79,28,6,71,27,13,53,48,21,83,47,19,83,50,24,85,27,7,73
'113906,-1,-1,-1,50,0,80,.,.,.,.,.,.,43,19,78,32,6,76,35,16,72,44,20,79,31,17,67,-1,-1,-1,-1,-1,-1,42,19,78,27,10,68,11,4,47,45,22,80,40,17,75,49,24,84,-1,-1,-1
'114901,26,7,55,36,18,66,63,42,81,0,0,0,30,11,62,22,10,51,26,8,57,32,11,65,28,9,60,67,50,100,18,4,48,29,11,58,13,2,44,28,11,39,39,17,69,30,11,61,30,11,64,17,6,46
'114902,12,3,39,8,0,32,64,45,100,.,.,.,38,14,71,80,30,100,30,11,60,42,16,76,34,10,66,.,.,.,4,0,29,33,12,65,16,6,50,18,11,30,40,17,74,38,14,70,37,15,73,31,6,56
'114904,18,6,59,39,23,68,88,41,100,.,.,.,54,22,84,56,28,94,40,11,77,56,23,87,44,14,80,69,44,81,18,6,59,52,22,82,25,5,64,15,8,35,58,24,86,59,25,87,40,13,75,43,24,57
'115901,41,16,77,-1,-1,-1,-1,-1,-1,.,.,.,43,16,78,.,.,.,42,15,78,48,21,84,43,16,78,.,.,.,32,11,70,38,12,73,30,10,70,16,2,44,50,25,75,43,17,80,43,12,71,21,14,79
