DISTRICT,DD000A001223R,DD000A001323R,DD000A001S23R,DD200A001223R,DD200A001323R,DD200A001S23R,DD300A001223R,DD300A001323R,DD300A001S23R,DD400A001223R,DD400A001323R,DD400A001S23R,DDA00A001223R,DDA00A001323R,DDA00A001S23R,DDB00A001223R,DDB00A001323R,DDB00A001S23R,DDE00A001223R,DDE00A001323R,DDE00A001S23R,DDF00A001223R,DDF00A001323R,DDF00A001S23R,DDH00A001223R,DDH00A001323R,DDH00A001S23R,DDI00A001223R,DDI00A001323R,DDI00A001S23R,DDL00A001223R,DDL00A001323R,DDL00A001S23R,DDM00A001223R,DDM00A001323R,DDM00A001S23R,DDR00A001223R,DDR00A001323R,DDR00A001S23R,DDS00A001223R,DDS00A001323R,DDS00A001S23R,DDW00A001223R,DDW00A001323R,DDW00A001S23R,DISTNAME,DNC00A001223R,DNC00A001323R,DNC00A001S23R,DNM00A001223R,DNM00A001323R,DNM00A001S23R,DNS00A001223R,DNS00A001323R,DNS00A001S23R
"'129902",44,16,73,55,23,80,73,40,88,26,9,65,49,20,75,35,11,64,35,11,65,51,20,77,48,17,77,51,13,71,39,13,70,47,19,74,27,6,60,20,5,44,65,31,87,"FORNEY ISD",56,23,81,41,15,70,53,21,79
"'129903",39,11,74,49,20,81,72,50,94,-1,-1,-1,52,19,79,42,10,74,45,13,75,52,18,81,46,15,76,60,32,80,37,9,72,51,19,78,41,10,73,25,8,52,61,25,84,"KAUFMAN ISD",53,19,80,49,16,78,56,22,80
"'129904",27,8,57,45,17,80,86,0,100,.,.,.,37,10,69,29,7,52,35,10,67,37,10,69,32,9,63,20,20,40,23,5,54,37,10,69,25,4,59,23,9,46,40,10,73,"KEMP ISD",39,10,71,33,9,65,38,11,67
"'129905",33,11,68,52,14,82,74,42,82,-1,-1,-1,50,17,79,30,6,67,44,13,75,51,17,81,45,14,77,17,4,57,31,9,67,50,18,78,29,7,65,24,6,52,52,19,81,"MABANK ISD",53,18,81,45,15,77,49,14,77
"'129906",23,6,55,37,10,63,48,29,71,-1,-1,-1,32,9,63,20,4,52,28,8,60,33,9,65,31,9,63,19,0,57,22,6,54,31,9,61,18,4,51,21,8,38,44,14,74,"TERRELL ISD",33,10,64,30,8,61,30,7,62
"'129910",39,8,72,48,7,93,.,.,.,.,.,.,58,21,86,29,9,71,49,15,80,62,22,88,47,14,81,-1,-1,-1,37,6,71,55,21,84,36,5,74,22,3,57,64,25,89,"SCURRY-ROSSER ISD",62,24,89,51,15,79,67,31,94
"'130801",.,.,.,.,.,.,.,.,.,.,.,.,45,9,91,.,.,.,43,14,86,40,10,90,40,0,100,.,.,.,.,.,.,-1,-1,-1,20,0,80,29,0,86,50,17,83,"MEADOWLAND CHARTER DISTRICT",.,.,.,45,9,91,.,.,.
"'130901",41,14,69,74,43,91,87,60,93,81,43,100,72,37,91,60,28,85,52,19,79,73,37,92,61,27,85,69,37,86,33,10,64,71,36,90,42,11,74,38,14,68,78,41,94,"BOERNE ISD",73,37,91,71,37,91,76,39,94
"'130902",22,5,57,71,18,100,33,11,78,.,.,.,40,11,74,-1,-1,-1,31,8,66,42,12,77,32,7,68,-1,-1,-1,17,2,53,38,10,71,22,3,62,19,6,50,50,17,82,"COMFORT ISD",40,10,74,41,13,75,30,0,56
"'131001",38,0,88,-1,-1,-1,.,.,.,.,.,.,58,17,83,80,0,100,45,8,78,66,17,89,54,18,81,.,.,.,38,0,88,50,17,78,33,5,62,33,0,67,63,16,88,"KENEDY COUNTY WIDE CSD",51,18,82,69,15,85,63,0,100
