DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'020907,20,6,56,38,16,74,-1,-1,-1,.,.,.,38,15,69,20,5,51,31,11,63,42,16,74,33,11,64,58,32,89,12,3,48,35,13,65,19,4,54,21,7,38,44,18,75,39,16,69,35,12,69,32,7,58
'020908,51,27,80,71,41,90,86,64,96,67,41,89,66,37,88,56,26,83,48,20,78,69,39,90,55,25,83,70,32,92,31,13,67,63,34,86,33,10,70,26,10,53,74,43,91,69,39,89,57,28,83,60,27,89
'020910,13,6,46,40,40,40,.,.,.,.,.,.,21,9,55,-1,-1,-1,19,8,53,22,10,57,20,8,53,.,.,.,13,6,46,20,8,52,12,4,45,3,2,22,22,10,57,24,9,58,16,9,50,20,0,60
'021803,17,3,46,.,.,.,.,.,.,.,.,.,19,9,51,13,5,43,17,7,49,18,9,57,24,11,58,-1,-1,-1,17,3,46,21,8,46,14,3,45,18,9,56,31,19,69,20,9,50,19,9,52,20,20,80
'021805,32,12,70,7,7,47,100,50,100,.,.,.,43,18,77,45,19,79,41,16,76,42,17,80,37,15,74,67,17,83,27,11,67,44,19,74,28,9,65,31,10,50,63,25,88,52,21,84,37,16,73,40,20,80
'021901,43,21,72,58,35,83,84,61,95,18,9,82,59,32,83,28,9,59,35,14,67,60,32,84,43,18,74,45,18,70,23,8,57,58,31,82,28,10,61,23,7,45,70,39,91,61,34,85,52,26,77,49,22,81
'021902,29,10,63,39,19,72,54,31,81,17,0,39,35,14,66,21,6,52,28,9,61,37,14,69,32,11,65,34,13,72,22,8,56,34,14,63,23,6,57,21,5,36,56,28,82,36,14,67,31,11,61,30,10,61
'022004,9,2,42,.,.,.,.,.,.,.,.,.,28,12,61,.,.,.,21,7,54,27,15,66,19,7,56,-1,-1,-1,5,1,37,29,5,52,14,3,48,0,0,5,72,40,88,25,11,64,32,13,58,40,0,60
'022901,31,11,68,71,51,86,38,13,75,-1,-1,-1,47,20,80,13,0,50,37,15,72,50,21,84,40,14,76,-1,-1,-1,19,6,63,45,19,76,19,4,62,24,10,55,61,30,88,47,19,79,46,21,82,16,5,74
'022902,.,.,.,.,.,.,.,.,.,.,.,.,53,21,90,.,.,.,44,13,85,50,22,89,45,18,88,.,.,.,.,.,.,56,20,91,30,4,74,-1,-1,-1,63,25,93,52,25,90,55,13,90,-1,-1,-1
'022903,.,.,.,.,.,.,.,.,.,.,.,.,48,24,95,.,.,.,44,22,89,60,30,100,-1,-1,-1,.,.,.,.,.,.,36,18,91,40,20,100,.,.,.,53,29,94,47,27,93,50,17,100,.,.,.
'023902,33,11,56,-1,-1,-1,.,.,.,.,.,.,49,23,83,.,.,.,36,13,78,51,22,85,38,14,79,.,.,.,33,11,56,47,24,82,13,1,56,16,11,63,58,31,87,51,22,86,44,26,78,56,44,78
'024901,35,11,70,.,.,.,.,.,.,.,.,.,31,10,65,-1,-1,-1,27,8,62,33,11,66,31,10,65,-1,-1,-1,33,6,63,30,9,64,17,4,54,20,5,47,48,12,80,31,9,65,34,12,67,41,34,76
'025901,24,6,56,53,25,69,-1,-1,-1,-1,-1,-1,47,15,78,19,3,52,37,10,71,48,15,80,41,10,75,-1,-1,-1,0,0,43,46,16,76,20,3,56,22,6,43,50,18,80,50,17,80,38,10,73,47,16,70
'025902,24,10,64,36,12,71,67,40,96,.,.,.,40,15,72,22,8,54,31,10,64,42,15,74,32,9,66,33,8,58,13,2,50,39,15,70,19,3,56,20,6,39,49,21,79,42,16,73,36,12,69,30,13,63
'025904,0,0,0,.,.,.,.,.,.,.,.,.,43,13,73,.,.,.,41,11,70,40,11,73,45,8,69,-1,-1,-1,0,0,0,46,14,72,28,8,63,31,6,53,43,15,74,46,11,76,39,15,68,57,14,71
'025905,6,0,39,-1,-1,-1,.,.,.,-1,-1,-1,42,16,71,25,0,50,34,11,65,45,17,77,31,8,65,-1,-1,-1,0,0,15,39,15,67,21,3,60,15,4,33,45,19,74,41,16,72,42,14,69,23,0,54
'025906,.,.,.,7,0,47,.,.,.,.,.,.,56,20,84,-1,-1,-1,46,15,80,54,21,87,57,29,84,.,.,.,.,.,.,57,19,81,30,6,69,29,11,51,58,19,86,48,17,78,67,24,93,-1,-1,-1
'025908,.,.,.,.,.,.,.,.,.,.,.,.,46,17,73,-1,-1,-1,41,11,67,55,21,84,29,15,63,.,.,.,.,.,.,38,14,62,30,6,61,23,5,45,54,19,77,56,24,80,33,9,65,33,0,50
'025909,42,19,92,67,35,90,67,33,90,.,.,.,54,23,85,43,18,75,46,17,80,53,25,86,45,13,82,40,0,60,56,33,94,55,21,84,27,8,70,31,13,60,57,26,86,58,24,87,47,20,81,35,15,63
'026901,34,12,67,32,14,69,50,8,92,.,.,.,46,18,76,31,9,65,35,11,68,49,20,79,39,14,71,50,25,83,23,5,54,43,17,74,21,4,58,22,5,43,54,24,82,46,19,77,42,16,75,33,4,81
'026902,14,5,50,24,11,58,0,0,40,25,0,100,29,11,62,28,12,51,25,9,57,31,11,65,26,9,59,.,.,.,8,4,33,28,11,59,14,5,48,36,23,52,35,13,72,29,10,65,30,13,57,8,0,38
