DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R
"'018908",18,6,47,-1,-1,-1,.,.,.,.,.,.,39,19,71,50,20,80,33,15,63,51,22,79,31,19,67,.,.,.,18,6,47,28,16,62,21,7,55,18,9,42,44,19,73,"CRANFILLS GAP ISD",40,20,73,39,17,63,20,20,60
"'019901",21,9,64,29,9,60,-1,-1,-1,.,.,.,45,21,74,28,10,60,40,17,72,46,18,78,37,16,71,29,14,71,22,9,64,44,23,71,25,10,61,26,10,48,56,28,82,"DEKALB ISD",47,22,76,41,17,71,37,17,70
"'019902",46,19,91,50,19,82,-1,-1,-1,.,.,.,56,24,85,37,14,72,47,19,81,57,22,86,58,21,91,.,.,.,50,23,90,55,27,84,27,7,68,22,9,49,60,27,87,"HOOKS ISD",57,25,85,53,23,84,46,27,79
"'019903",-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,56,29,86,-1,-1,-1,51,26,82,57,34,86,100,40,100,.,.,.,-1,-1,-1,55,25,86,42,18,73,49,22,68,55,28,86,"MAUD ISD",57,31,86,52,21,87,43,0,86
"'019905",26,11,67,42,18,72,-1,-1,-1,67,0,67,43,19,72,31,10,61,38,15,67,44,18,72,37,17,72,67,22,89,26,11,67,41,20,71,19,6,52,29,11,50,48,22,75,"NEW BOSTON ISD",45,20,74,38,16,67,33,16,69
"'019906",33,10,81,48,27,77,67,44,100,100,57,100,60,26,86,35,12,65,54,22,82,61,26,88,36,9,80,-1,-1,-1,15,8,69,59,26,85,38,9,74,25,11,57,62,27,88,"REDWATER ISD",62,27,86,55,24,87,42,18,82
"'019907",38,15,70,46,20,74,76,49,93,.,.,.,42,19,70,24,8,54,32,11,63,44,20,73,43,17,75,66,45,89,29,12,64,40,19,67,24,8,56,15,4,32,64,35,87,"TEXARKANA ISD",44,21,71,37,15,66,38,18,73
"'019908",24,8,57,37,15,61,-1,-1,-1,0,0,0,30,10,60,24,8,53,27,9,57,33,12,64,33,10,67,61,13,78,18,6,53,27,9,56,17,5,49,20,6,35,41,14,74,"LIBERTY-EYLAU ISD",31,10,62,28,10,56,11,3,42
"'019909",-1,-1,-1,41,18,77,-1,-1,-1,.,.,.,54,24,86,-1,-1,-1,46,21,83,54,24,88,48,15,78,.,.,.,-1,-1,-1,54,24,84,30,6,72,18,4,52,55,24,87,"SIMMS ISD",52,20,84,59,32,91,56,19,94
"'019910",.,.,.,71,29,86,.,.,.,.,.,.,56,25,92,-1,-1,-1,54,18,91,60,28,93,67,17,92,-1,-1,-1,.,.,.,53,22,91,47,18,94,35,10,85,56,26,93,"MALTA ISD",55,23,92,65,35,92,57,14,100
"'019911",67,17,100,63,53,95,75,38,100,.,.,.,71,41,94,47,27,53,59,37,83,69,40,94,100,28,100,-1,-1,-1,67,17,100,73,41,93,39,19,79,34,19,66,71,41,94,"RED LICK ISD",75,42,95,59,37,90,68,41,100
